rank,ticker,company,sector,weight,market_cap_usd,market_cap_numeric,market_cap_billions,cap_category,weight_cumulative,index_concentration,snapshot_date
46,STX,Seagate Technology Holdings plc,Technology,0.3,183.3B,183300000000.0,183.3,Large Cap,91.25,Rest (26–100),2026-05-01
47,MRVL,Marvell Technology Inc.,Technology,0.29,155.6B,155600000000.0,155.6,Large Cap,91.54,Rest (26–100),2026-05-01
48,MAR,Marriott International Inc. Class A,Consumer Discretionary,0.27,92.3B,92300000000.0,92.3,Large Cap,91.81,Rest (26–100),2026-05-01
49,MELI,MercadoLibre Inc.,Consumer Discretionary,0.27,79.2B,79200000000.0,79.2,Large Cap,92.08,Rest (26–100),2026-05-01
50,REGN,Regeneron Pharmaceuticals Inc.,Health Care,0.25,75.5B,75500000000.0,75.5,Large Cap,92.33,Rest (26–100),2026-05-01
51,ADP,Automatic Data Processing Inc.,Technology,0.25,83.4B,83400000000.0,83.4,Large Cap,92.58,Rest (26–100),2026-05-01
52,CDNS,Cadence Design Systems Inc.,Technology,0.24,97.8B,97800000000.0,97.8,Large Cap,92.82,Rest (26–100),2026-05-01
53,ORLY,O'Reilly Automotive Inc.,Consumer Discretionary,0.24,74.3B,74300000000.0,74.3,Large Cap,93.06,Rest (26–100),2026-05-01
54,CSX,CSX Corporation,Industrials,0.24,82.5B,82500000000.0,82.5,Large Cap,93.3,Rest (26–100),2026-05-01
55,SNPS,Synopsys Inc.,Technology,0.24,97.6B,97600000000.0,97.6,Large Cap,93.54,Rest (26–100),2026-05-01
56,ABNB,Airbnb Inc. Class A,Consumer Discretionary,0.24,78.9B,78900000000.0,78.9,Large Cap,93.78,Rest (26–100),2026-05-01
57,MDLZ,Mondelez International Inc. Class A,Consumer Staples,0.23,79.0B,79000000000.0,79.0,Large Cap,94.01,Rest (26–100),2026-05-01
58,MNST,Monster Beverage Corporation,Consumer Staples,0.22,84.0B,84000000000.0,84.0,Large Cap,94.23,Rest (26–100),2026-05-01
59,ROST,Ross Stores Inc.,Consumer Discretionary,0.22,68.5B,68500000000.0,68.5,Large Cap,94.45,Rest (26–100),2026-05-01
60,AEP,American Electric Power Company Inc.,Utilities,0.22,69.6B,69600000000.0,69.6,Large Cap,94.67,Rest (26–100),2026-05-01
61,WBD,Warner Bros. Discovery Inc. Series A,Communication Services,0.22,68.3B,68300000000.0,68.3,Large Cap,94.89,Rest (26–100),2026-05-01
62,CTAS,Cintas Corporation,Industrials,0.21,65.4B,65400000000.00001,65.4,Large Cap,95.1,Rest (26–100),2026-05-01
63,DASH,DoorDash Inc. Class A,Consumer Discretionary,0.2,65.0B,65000000000.0,65.0,Large Cap,95.3,Rest (26–100),2026-05-01
64,PCAR,PACCAR Inc.,Industrials,0.19,58.8B,58800000000.0,58.8,Large Cap,95.49,Rest (26–100),2026-05-01
65,FTNT,Fortinet Inc.,Technology,0.19,86.2B,86200000000.0,86.2,Large Cap,95.68,Rest (26–100),2026-05-01
66,BKR,Baker Hughes Company Class A,Energy,0.18,64.9B,64900000000.00001,64.9,Large Cap,95.86,Rest (26–100),2026-05-01
67,MPWR,Monolithic Power Systems Inc.,Technology,0.17,81.1B,81100000000.0,81.1,Large Cap,96.03,Rest (26–100),2026-05-01
68,FANG,Diamondback Energy Inc.,Energy,0.17,56.6B,56600000000.0,56.6,Large Cap,96.2,Rest (26–100),2026-05-01
69,FAST,Fastenal Company,Industrials,0.17,50.2B,50200000000.0,50.2,Large Cap,96.37,Rest (26–100),2026-05-01
70,EA,Electronic Arts Inc.,Communication Services,0.16,50.2B,50200000000.0,50.2,Large Cap,96.53,Rest (26–100),2026-05-01
71,ADSK,Autodesk Inc.,Technology,0.16,48.8B,48800000000.0,48.8,Large Cap,96.69,Rest (26–100),2026-05-01
72,NXPI,NXP Semiconductors N.V.,Technology,0.15,75.3B,75300000000.0,75.3,Large Cap,96.84,Rest (26–100),2026-05-01
73,EXC,Exelon Corporation,Utilities,0.15,45.3B,45300000000.0,45.3,Large Cap,96.99,Rest (26–100),2026-05-01
74,XEL,Xcel Energy Inc.,Utilities,0.15,49.9B,49900000000.0,49.9,Large Cap,97.14,Rest (26–100),2026-05-01
75,FER,Ferrovial SE,Utilities,0.15,48.7B,48700000000.0,48.7,Large Cap,97.29,Rest (26–100),2026-05-01
76,IDXX,IDEXX Laboratories Inc.,Health Care,0.14,41.7B,41700000000.0,41.7,Large Cap,97.43,Rest (26–100),2026-05-01
77,ALNY,Alnylam Pharmaceuticals Inc.,Health Care,0.14,38.9B,38900000000.0,38.9,Large Cap,97.57,Rest (26–100),2026-05-01
78,MSTR,Strategy Inc.,Technology,0.13,62.4B,62400000000.0,62.4,Large Cap,97.7,Rest (26–100),2026-05-01
79,DDOG,Datadog Inc. Class A,Technology,0.13,73.1B,73100000000.0,73.1,Large Cap,97.83,Rest (26–100),2026-05-01
