rank,ticker,company,sector,weight,market_cap_usd
81,PYPL,PayPal Holdings Inc.,Technology,0.13,49.3B
82,CCEP,Coca-Cola Europacific Partners plc,Consumer Staples,0.13,49.3B
83,TRI,Thomson Reuters Corporation,Technology,0.12,43.1B
84,TTWO,Take-Two Interactive Software Inc.,Communication Services,0.11,46.3B
85,ROP,Roper Technologies Inc.,Industrials,0.11,38.5B
86,MCHP,Microchip Technology Incorporated,Technology,0.11,40.7B
87,INSM,Insmed Incorporated,Health Care,0.11,22.0B
88,KDP,Keurig Dr Pepper Inc.,Consumer Staples,0.11,43.0B
89,AXON,Axon Enterprise Inc.,Industrials,0.11,42.3B
90,WDAY,Workday Inc. Class A,Technology,0.1,39.0B
91,PAYX,Paychex Inc.,Technology,0.1,41.4B
92,GEHC,GE HealthCare Technologies Inc.,Health Care,0.1,31.6B
93,CPRT,Copart Inc.,Industrials,0.1,27.4B
94,CTSH,Cognizant Technology Solutions Corporation Class A,Technology,0.09,24.3B
95,CHTR,Charter Communications Inc. Class A,Communication Services,0.08,19.1B
96,KHC,Kraft Heinz Company,Consumer Staples,0.08,31.3B
97,VRSK,Verisk Analytics Inc.,Technology,0.08,26.1B
98,DXCM,DexCom Inc.,Health Care,0.08,28.8B
99,ZS,Zscaler Inc. Class A,Technology,0.07,24.0B
100,TEAM,Atlassian Corporation Class A,Technology,0.06,24.9B
