rank,ticker,company,sector,weight,market_cap_usd
1,NVDA,NVIDIA Corporation,Technology,13.31,4.72T
2,AAPL,Apple Inc.,Technology,11.57,4.90T
3,MSFT,Microsoft Corporation,Technology,8.55,3.35T
4,AMZN,Amazon.com Inc.,Consumer Discretionary,7.07,2.53T
5,GOOGL,Alphabet Inc. Class A,Communication Services,5.75,4.08T
6,GOOG,Alphabet Inc. Class C,Communication Services,5.33,4.08T
7,AVGO,Broadcom Inc.,Technology,4.6,1.85T
8,META,Meta Platforms Inc. Class A,Communication Services,4.58,1.37T
9,TSLA,Tesla Inc.,Consumer Discretionary,4.44,1.22T
10,WMT,Walmart Inc.,Consumer Staples,3.06,884.1B
11,ASML,ASML Holding N.V.,Technology,1.65,634.3B
12,COST,Costco Wholesale Corporation,Consumer Staples,1.37,423.2B
13,MU,Micron Technology Inc.,Technology,1.3,-
14,NFLX,Netflix Inc.,Communication Services,1.25,304.7B
15,PLTR,Palantir Technologies Inc. Class A,Technology,1.09,293.1B
16,AMD,Advanced Micro Devices Inc.,Technology,1.07,-
17,CSCO,Cisco Systems Inc.,Technology,0.97,447.6B
18,AMAT,Applied Materials Inc.,Technology,0.88,398.4B
19,LRCX,Lam Research Corporation,Technology,0.86,372.5B
20,INTC,Intel Corporation,Technology,0.76,459.7B
21,LIN,Linde plc,Materials,0.71,235.2B
22,TMUS,T-Mobile US Inc.,Communication Services,0.69,185.9B
23,PEP,PepsiCo Inc.,Consumer Staples,0.65,191.5B
24,KLAC,KLA Corporation,Technology,0.62,235.6B
25,AMGN,Amgen Inc.,Health Care,0.59,209.2B
26,TXN,Texas Instruments Incorporated,Technology,0.56,254.6B
27,GILD,Gilead Sciences Inc.,Health Care,0.54,163.0B
28,ISRG,Intuitive Surgical Inc.,Health Care,0.51,126.5B
29,ARM,Arm Holdings plc ADR,Technology,0.5,258.0B
30,ADI,Analog Devices Inc.,Technology,0.49,-
31,SHOP,Shopify Inc. Class A,Consumer Discretionary,0.48,158.8B
32,PDD,PDD Holdings Inc. ADR,Consumer Discretionary,0.45,124.5B
33,HON,Honeywell International Inc.,Industrials,0.45,76.7B
34,QCOM,QUALCOMM Incorporated,Technology,0.43,159.2B
35,BKNG,Booking Holdings Inc.,Consumer Discretionary,0.42,149.7B
36,APP,AppLovin Corporation Class A,Technology,0.41,135.7B
37,PANW,Palo Alto Networks Inc.,Technology,0.4,265.4B
38,INTU,Intuit Inc.,Technology,0.36,86.3B
39,VRTX,Vertex Pharmaceuticals Incorporated,Health Care,0.36,122.3B
40,SBUX,Starbucks Corporation,Consumer Discretionary,0.32,120.7B
41,WDC,Western Digital Corporation,Technology,0.32,-
42,CEG,Constellation Energy Corporation,Utilities,0.31,94.1B
43,CMCSA,Comcast Corporation Class A,Communication Services,0.31,84.0B
44,CRWD,CrowdStrike Holdings Inc. Class A,Technology,0.31,188.6B
45,ADBE,Adobe Inc.,Technology,0.3,98.5B
46,STX,Seagate Technology Holdings plc,Technology,0.3,193.3B
47,MRVL,Marvell Technology Inc.,Technology,0.29,164.5B
48,MAR,Marriott International Inc. Class A,Consumer Discretionary,0.27,-
49,MELI,MercadoLibre Inc.,Consumer Discretionary,0.27,95.6B
50,REGN,Regeneron Pharmaceuticals Inc.,Health Care,0.25,76.0B
51,ADP,Automatic Data Processing Inc.,Technology,0.25,105.0B
52,CDNS,Cadence Design Systems Inc.,Technology,0.24,91.7B
53,ORLY,O'Reilly Automotive Inc.,Consumer Discretionary,0.24,71.3B
54,CSX,CSX Corporation,Industrials,0.24,93.0B
55,SNPS,Synopsys Inc.,Technology,0.24,71.3B
56,ABNB,Airbnb Inc. Class A,Consumer Discretionary,0.24,90.3B
57,MDLZ,Mondelez International Inc. Class A,Consumer Staples,0.23,80.5B
58,MNST,Monster Beverage Corporation,Consumer Staples,0.22,95.5B
59,ROST,Ross Stores Inc.,Consumer Discretionary,0.22,81.0B
60,AEP,American Electric Power Company Inc.,Utilities,0.22,69.5B
61,WBD,Warner Bros. Discovery Inc. Series A,Communication Services,0.22,63.9B
62,CTAS,Cintas Corporation,Industrials,0.21,82.8B
63,DASH,DoorDash Inc. Class A,Consumer Discretionary,0.2,86.1B
64,PCAR,PACCAR Inc.,Industrials,0.19,70.4B
65,FTNT,Fortinet Inc.,Technology,0.19,113.0B
66,BKR,Baker Hughes Company Class A,Energy,0.18,59.5B
67,MPWR,Monolithic Power Systems Inc.,Technology,0.17,64.7B
68,FANG,Diamondback Energy Inc.,Energy,0.17,56.2B
69,FAST,Fastenal Company,Industrials,0.17,53.5B
70,EA,Electronic Arts Inc.,Communication Services,0.16,52.9B
71,ADSK,Autodesk Inc.,Technology,0.16,49.6B
72,NXPI,NXP Semiconductors N.V.,Technology,0.15,61.8B
73,EXC,Exelon Corporation,Utilities,0.15,-
74,XEL,Xcel Energy Inc.,Utilities,0.15,48.8B
75,FER,Ferrovial SE,Utilities,0.15,46.9B
76,IDXX,IDEXX Laboratories Inc.,Health Care,0.14,44.1B
77,ALNY,Alnylam Pharmaceuticals Inc.,Health Care,0.14,27.4B
78,MSTR,Strategy Inc.,Technology,0.13,35.7B
79,DDOG,Datadog Inc. Class A,Technology,0.13,95.6B
80,ODFL,Old Dominion Freight Line Inc.,Industrials,0.13,44.2B
