rank,ticker,company,sector,weight,market_cap_usd
33,HON,Honeywell International Inc.,Industrials,0.45,67.4B
34,QCOM,QUALCOMM Incorporated,Technology,0.43,210.7B
35,BKNG,Booking Holdings Inc.,Consumer Discretionary,0.42,117.1B
36,APP,AppLovin Corporation Class A,Technology,0.41,105.9B
37,PANW,Palo Alto Networks Inc.,Technology,0.4,321.7B
38,INTU,Intuit Inc.,Technology,0.36,76.6B
39,VRTX,Vertex Pharmaceuticals Incorporated,Health Care,0.36,130.9B
40,SBUX,Starbucks Corporation,Consumer Discretionary,0.32,107.3B
41,WDC,Western Digital Corporation,Technology,0.32,170.8B
42,CEG,Constellation Energy Corporation,Utilities,0.31,93.5B
43,CMCSA,Comcast Corporation Class A,Communication Services,0.31,80.0B
44,CRWD,CrowdStrike Holdings Inc. Class A,Technology,0.31,268.8B
45,ADBE,Adobe Inc.,Technology,0.3,95.7B
46,STX,Seagate Technology Holdings plc,Technology,0.3,210.1B
47,MRVL,Marvell Technology Inc.,Technology,0.29,234.5B
48,MAR,Marriott International Inc. Class A,Consumer Discretionary,0.27,91.7B
49,MELI,MercadoLibre Inc.,Consumer Discretionary,0.27,91.2B
50,REGN,Regeneron Pharmaceuticals Inc.,Health Care,0.25,82.6B
51,ADP,Automatic Data Processing Inc.,Technology,0.25,104.8B
52,CDNS,Cadence Design Systems Inc.,Technology,0.24,85.1B
53,ORLY,O'Reilly Automotive Inc.,Consumer Discretionary,0.24,69.5B
54,CSX,CSX Corporation,Industrials,0.24,87.4B
55,SNPS,Synopsys Inc.,Technology,0.24,79.2B
56,ABNB,Airbnb Inc. Class A,Consumer Discretionary,0.24,89.6B
57,MDLZ,Mondelez International Inc. Class A,Consumer Staples,0.23,78.4B
58,MNST,Monster Beverage Corporation,Consumer Staples,0.22,86.0B
59,ROST,Ross Stores Inc.,Consumer Discretionary,0.22,75.1B
60,AEP,American Electric Power Company Inc.,Utilities,0.22,64.5B
61,WBD,Warner Bros. Discovery Inc. Series A,Communication Services,0.22,77.1B
62,CTAS,Cintas Corporation,Industrials,0.21,76.7B
63,DASH,DoorDash Inc. Class A,Consumer Discretionary,0.2,82.0B
64,PCAR,PACCAR Inc.,Industrials,0.19,59.0B
65,FTNT,Fortinet Inc.,Technology,0.19,131.1B
66,BKR,Baker Hughes Company Class A,Energy,0.18,57.6B
67,MPWR,Monolithic Power Systems Inc.,Technology,0.17,66.6B
68,FANG,Diamondback Energy Inc.,Energy,0.17,52.0B
69,FAST,Fastenal Company,Industrials,0.17,58.5B
70,EA,Electronic Arts Inc.,Communication Services,0.16,52.9B
71,ADSK,Autodesk Inc.,Technology,0.16,45.4B
72,NXPI,NXP Semiconductors N.V.,Technology,0.15,59.4B
73,EXC,Exelon Corporation,Utilities,0.15,41.9B
74,XEL,Xcel Energy Inc.,Utilities,0.15,44.1B
75,FER,Ferrovial SE,Utilities,0.15,39.8B
76,IDXX,IDEXX Laboratories Inc.,Health Care,0.14,41.1B
77,ALNY,Alnylam Pharmaceuticals Inc.,Health Care,0.14,33.0B
78,MSTR,Strategy Inc.,Technology,0.13,64.4B
79,DDOG,Datadog Inc. Class A,Technology,0.13,90.3B
80,ODFL,Old Dominion Freight Line Inc.,Industrials,0.13,37.0B
81,PYPL,PayPal Holdings Inc.,Technology,0.13,44.9B
82,CCEP,Coca-Cola Europacific Partners plc,Consumer Staples,0.13,43.9B
83,TRI,Thomson Reuters Corporation,Technology,0.12,42.7B
84,TTWO,Take-Two Interactive Software Inc.,Communication Services,0.11,38.6B
85,ROP,Roper Technologies Inc.,Industrials,0.11,36.2B
86,MCHP,Microchip Technology Incorporated,Technology,0.11,41.0B
87,INSM,Insmed Incorporated,Health Care,0.11,25.8B
88,KDP,Keurig Dr Pepper Inc.,Consumer Staples,0.11,43.2B
89,AXON,Axon Enterprise Inc.,Industrials,0.11,36.6B
90,WDAY,Workday Inc. Class A,Technology,0.1,46.4B
91,PAYX,Paychex Inc.,Technology,0.1,37.2B
92,GEHC,GE HealthCare Technologies Inc.,Health Care,0.1,29.9B
93,CPRT,Copart Inc.,Industrials,0.1,26.7B
94,CTSH,Cognizant Technology Solutions Corporation Class A,Technology,0.09,26.6B
95,CHTR,Charter Communications Inc. Class A,Communication Services,0.08,15.2B
96,KHC,Kraft Heinz Company,Consumer Staples,0.08,28.2B
97,VRSK,Verisk Analytics Inc.,Technology,0.08,22.4B
98,DXCM,DexCom Inc.,Health Care,0.08,33.1B
99,ZS,Zscaler Inc. Class A,Technology,0.07,35.0B
100,TEAM,Atlassian Corporation Class A,Technology,0.06,49.4B
