rank,ticker,company,sector,weight,market_cap_usd
1,NVDA,NVIDIA Corporation,Technology,13.31,5.45T
2,AAPL,Apple Inc.,Technology,11.57,4.92T
3,MSFT,Microsoft Corporation,Technology,8.55,3.72T
4,AMZN,Amazon.com Inc.,Consumer Discretionary,7.07,2.69T
5,GOOGL,Alphabet Inc. Class A,Communication Services,5.75,4.13T
6,GOOG,Alphabet Inc. Class C,Communication Services,5.33,4.10T
7,AVGO,Broadcom Inc.,Technology,4.6,1.69T
8,META,Meta Platforms Inc. Class A,Communication Services,4.58,1.90T
9,TSLA,Tesla Inc.,Consumer Discretionary,4.44,1.50T
10,WMT,Walmart Inc.,Consumer Staples,3.06,879.6B
11,ASML,ASML Holding N.V.,Technology,1.65,670.1B
12,COST,Costco Wholesale Corporation,Consumer Staples,1.37,401.2B
13,MU,Micron Technology Inc.,Technology,1.3,1.21T
14,NFLX,Netflix Inc.,Communication Services,1.25,297.1B
15,PLTR,Palantir Technologies Inc. Class A,Technology,1.09,460.9B
16,AMD,Advanced Micro Devices Inc.,Technology,1.07,1.00T
17,CSCO,Cisco Systems Inc.,Technology,0.97,419.6B
18,AMAT,Applied Materials Inc.,Technology,0.88,376.5B
19,LRCX,Lam Research Corporation,Technology,0.86,384.5B
20,INTC,Intel Corporation,Technology,0.76,648.1B
21,LIN,Linde plc,Materials,0.71,216.5B
22,TMUS,T-Mobile US Inc.,Communication Services,0.69,177.7B
23,PEP,PepsiCo Inc.,Consumer Staples,0.65,177.8B
24,KLAC,KLA Corporation,Technology,0.62,245.2B
25,AMGN,Amgen Inc.,Health Care,0.59,219.5B
26,TXN,Texas Instruments Incorporated,Technology,0.56,249.0B
27,GILD,Gilead Sciences Inc.,Health Care,0.54,187.7B
28,ISRG,Intuitive Surgical Inc.,Health Care,0.51,142.7B
29,ARM,Arm Holdings plc ADR,Technology,0.5,355.2B
30,ADI,Analog Devices Inc.,Technology,0.49,186.7B
31,SHOP,Shopify Inc. Class A,Consumer Discretionary,0.48,184.7B
32,PDD,PDD Holdings Inc. ADR,Consumer Discretionary,0.45,112.7B
