rank,ticker,company,sector,weight,market_cap_usd
68,FANG,Diamondback Energy Inc.,Energy,0.17,50.8B
69,FAST,Fastenal Company,Industrials,0.17,54.4B
70,EA,Electronic Arts Inc.,Communication Services,0.16,51.4B
71,ADSK,Autodesk Inc.,Technology,0.16,41.2B
72,NXPI,NXP Semiconductors N.V.,Technology,0.15,70.3B
73,EXC,Exelon Corporation,Utilities,0.15,48.2B
74,XEL,Xcel Energy Inc.,Utilities,0.15,51.2B
75,FER,Ferrovial SE,Utilities,0.15,48.9B
76,IDXX,IDEXX Laboratories Inc.,Health Care,0.14,42.3B
77,ALNY,Alnylam Pharmaceuticals Inc.,Health Care,0.14,39.2B
78,MSTR,Strategy Inc.,Technology,0.13,33.2B
79,DDOG,Datadog Inc. Class A,Technology,0.13,88.5B
80,ODFL,Old Dominion Freight Line Inc.,Industrials,0.13,45.7B
81,PYPL,PayPal Holdings Inc.,Technology,0.13,39.1B
82,CCEP,Coca-Cola Europacific Partners plc,Consumer Staples,0.13,44.9B
83,TRI,Thomson Reuters Corporation,Technology,0.12,36.1B
84,TTWO,Take-Two Interactive Software Inc.,Communication Services,0.11,45.9B
85,ROP,Roper Technologies Inc.,Industrials,0.11,33.8B
86,MCHP,Microchip Technology Incorporated,Technology,0.11,48.3B
87,INSM,Insmed Incorporated,Health Care,0.11,22.7B
88,KDP,Keurig Dr Pepper Inc.,Consumer Staples,0.11,45.6B
89,AXON,Axon Enterprise Inc.,Industrials,0.11,41.2B
90,WDAY,Workday Inc. Class A,Technology,0.1,30.5B
91,PAYX,Paychex Inc.,Technology,0.1,35.5B
92,GEHC,GE HealthCare Technologies Inc.,Health Care,0.1,29.6B
93,CPRT,Copart Inc.,Industrials,0.1,27.1B
94,CTSH,Cognizant Technology Solutions Corporation Class A,Technology,0.09,18.3B
95,CHTR,Charter Communications Inc. Class A,Communication Services,0.08,22.9B
96,KHC,Kraft Heinz Company,Consumer Staples,0.08,28.7B
97,VRSK,Verisk Analytics Inc.,Technology,0.08,23.5B
98,DXCM,DexCom Inc.,Health Care,0.08,27.0B
99,ZS,Zscaler Inc. Class A,Technology,0.07,22.3B
100,TEAM,Atlassian Corporation Class A,Technology,0.06,20.1B
